ticker,adv_shares,last_price,slip_500_pct,vs_flat_500,slip_1k_pct,vs_flat_1k,slip_5k_pct,vs_flat_5k
PLYX,336082.8,6.2203,2.413,2.213,2.039,1.839,2.834,2.634
PM,4642977.2,174.6999969482422,1.678,1.478,0.999,0.799,0.51,0.31
PMAX,7557725.95,2.28,1.931,1.731,1.356,1.156,1.309,1.109
PMNT,29424061.05,0.3396,1.994,1.794,1.445,1.245,1.507,1.307
POLA,1863648.9,1.75,2.259,2.059,1.821,1.621,2.347,2.147
POWW,422602.7,2.01,2.853,2.653,2.661,2.461,4.225,4.025
PRE,159850.95,17.78499984741211,2.303,2.103,1.883,1.683,2.486,2.286
PRSO,569471.85,0.9744,3.141,2.941,3.068,2.868,5.135,4.935
PRZO,802914.35,0.685,3.148,2.948,3.077,2.877,5.156,4.956
PTLE,547693.55,6.8,2.219,2.019,1.764,1.564,2.221,2.021
QNCX,101672222.9,1.2468,1.737,1.537,1.082,0.882,0.696,0.496
QURE,1325977.6,17.5276,1.872,1.672,1.273,1.073,1.122,0.922
RAYA,22611763.15,4.65,1.749,1.549,1.099,0.899,0.734,0.534
RBNE,13090726.7,1.98,1.86,1.66,1.256,1.056,1.083,0.883
RCKT,3998048.25,3.85,1.923,1.723,1.345,1.145,1.284,1.084
RCT,8704490.6,0.725,2.074,1.874,1.559,1.359,1.761,1.561
RECT,6556205.25,1.63,1.973,1.773,1.416,1.216,1.443,1.243
RENX,6652050.9,2.406,1.919,1.719,1.34,1.14,1.273,1.073
RETO,1323173.15,1.03,2.598,2.398,2.299,2.099,3.418,3.218
RILY,703817.9,7.67,2.123,1.923,1.628,1.428,1.915,1.715
RIME,712256.75,1.12,2.892,2.692,2.715,2.515,4.347,4.147
RIVN,20329176.6,17.01,1.7,1.5,1.03,0.83,0.579,0.379
RKLB,21567706.85,84.97,1.666,1.466,0.982,0.782,0.472,0.272
RKT,22516348.35,16.51,1.698,1.498,1.027,0.827,0.572,0.372
